Title,Location,Price,Bedrooms,Bathrooms,Toilets,Agent,DateAdded,ImageURL,URL
Newly Built 4 Bedroom Penthouse,"Lekki Phase 1, Lekki, Lagos","₦450,000,000",4 Bed,4 Bath,5 Toilet,"Jamesy Empire

  08166197539",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2773425/067d8c7833e52c-newly-built-4-bedroom-penthouse-for-sale-lekki-phase-1-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/lagos/lekki/lekki-phase-1/2773425-newly-built-4-bedroom-penthouse
Luxury 4 Bedroom Duplex,"Off Harris Drive Adjacent Vgc, Lekki, Lagos","₦170,000,000",4 Bed,4 Bath,5 Toilet,"Bigcity Realties Nigeria Limited

  08093886959",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922665/0684ea324cdc83-luxury-4-bedroom-duplex-semi-detached-duplexes-for-sale-lekki-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/2922665-luxury-4-bedroom-duplex
Luxury 5bedroom Fully Detached Duplex,"Chevron, Lekki, Lagos","₦430,000,000",5 Bed,5 Bath,6 Toilet,"Viscount Realty-homes And Properties

  07066158626",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922638/0684e986792938-luxury-5bedroom-fully-detached-duplex-detached-duplexes-for-sale-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/2922638-luxury-5bedroom-fully-detached-duplex
Gigantic 4 Bedroom Fully Detached Duplex With Very Spacious Rooms,"Witnin An Estate On Chevron Drive,  Chevron, Lekki, Lagos","₦260,000,000",4 Bed,4 Bath,5 Toilet,"Close With Marketbooy

  08075000582",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922614/0684e9104d80ce-gigantic-4-bedroom-fully-detached-duplex-with-very-spacious-rooms-detached-duplexes-for-sale-lekki-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/2922614-gigantic-4-bedroom-fully-detached-duplex-with-very-spacious-rooms
Well Maintained 4 Bedroom Terraced Duplex,"2nd Toll Gate, Lekki, Lagos","₦80,000,000",4 Bed,4 Bath,5 Toilet,"Lekki Luxury Homes & Lifestyle

  07082621178",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2896287/06839a6290fa22-well-maintained-4-bedroom-terraced-duplex-terraced-duplexes-for-sale-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/2896287-well-maintained-4-bedroom-terraced-duplex
Well Built 5 Bedroom Detached Duplex With Bq,"Chevron, Lekki, Lagos","₦260,000,000",5 Bed,5 Bath,6 Toilet,"Lekki Luxury Homes & Lifestyle

  07082621178",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2900332/0683d6f05da8c4-well-built-5-bedroom-detached-duplex-with-bq-for-sale-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/2900332-well-built-5-bedroom-detached-duplex-with-bq
Newly Built 4 Bedroom Terraced Duplex,"Ikate, Lekki, Lagos","₦250,000,000",4 Bed,4 Bath,5 Toilet,"Lekki Luxury Homes & Lifestyle

  07082621178",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2892671/0683713336208b-newly-built-4-bedroom-terraced-duplex-terraced-duplexes-for-sale-ikate-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikate/2892671-newly-built-4-bedroom-terraced-duplex
Brand New 5 Bedroom Semi Detached Duplex With Bq,"Lekki Phase 1, Lekki, Lagos","₦750,000,000",5 Bed,5 Bath,6 Toilet,"Lekki Luxury Homes & Lifestyle

  07082621178",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2891462/068361c07cb6a8-brand-new-5-bedroom-semi-detached-duplex-with-bq-detached-duplexes-for-sale-lekki-phase-1-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/lekki-phase-1/2891462-brand-new-5-bedroom-semi-detached-duplex-with-bq
Exquisitely Newly Built 3 Bedroom Apartment In A Secured Estate,"Yaba, Lagos","₦120,000,000",3 Bed,4 Bath,4 Toilet,"God's Own Realty

  2348085712184",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922662/0684e9fa0b0a46-exquisitely-newly-built-3-bedroom-apartment-in-a-secured-estate-for-sale-yaba-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/lagos/yaba/2922662-exquisitely-newly-built-3-bedroom-apartment-in-a-secured-estate
Exquisitely Newly Built 3 Bedroom Apartment In A Secured Estate.,"Yaba, Yaba, Lagos","₦120,000,000",3 Bed,4 Bath,4 Toilet,"King's Property

  09127609367",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922628/0684e95d99f64c-exquisitely-newly-built-3-bedroom-apartment-in-a-secured-estate-for-sale-yaba-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/lagos/yaba/2922628-exquisitely-newly-built-3-bedroom-apartment-in-a-secured-estate
Most Affordable 3bedroom Penthouse With Bq,"Ikoyi, Lagos","₦1,600,000,000",3 Bed,4 Bath,4 Toilet,"Royal9ja Properties Management

  08092302956",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922617/0684e91dcaac13-most-affordable-3bedroom-penthouse-with-bq-for-sale-ikoyi-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/lagos/ikoyi/2922617-most-affordable-3bedroom-penthouse-with-bq
